Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price,marka
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,17 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,+5,,,IPS,64 GB,DDR5,Siyah,2 TB,Gen 4,,2.2,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//monster/semruk-s7-v9-3-2-intel-core-i9-13980hx-64-gb-ram-2-tb-ssd-16-gb-rtx-4090-freedos-17-qhd-240-hz-p-759344050,138.999 TL,Monster
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736035504,34.199 TL,Monster
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/loq-amd-ryzen-7-7840hs-16gb-512gb-ssd-rtx4060-8gb-dos-15-6-144hz-gaming-laptop-82xt00bhtx-p-772120069,35.999 TL,LENOVO
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,DDR4,Paylaşımlı,Dahili,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR4,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1035nt-7n9v4ea-i5-13500h-16gb-512gb-rtx4050-6gb-15-6-144hz-fhd-freedos-gaming-laptop-p-696878957,28.599 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-3-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-736036307,35.499 TL,Monster
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Dahili,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12450h-8gb-512gb-ssd-rtx3050-w11-15-6-fhd-144hz-gaming-laptop-nh-qfjey-008-p-773939031,"23.208,76 TL",ACER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//casper/excalibur-g770-1245-bvj0x-b-intel-core-i5-12450h-16gb-ram-500gb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975657,24.490 TL,Casper
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736035793,37.699 TL,Monster
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/abra-a5-v20-1-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-736036073,"28.986,43 TL",Monster
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-4-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3060-freedos-15-6-inc-fhd-144-hz-p-674424445,30.199 TL,Monster
