Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price,marka
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Siyah,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//acer/nitro-5-an515-58-775t-7-12700h-32gb-1tb-ssd-rtx4060-8gb-165hz-15-6-fhd-w11-pro-nh-qm0ey-002-p-769284247,52.980 TL,ACER
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR4,Gri,500 GB,Gen 3,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-dva0x-b-intel-core-i7-12650h-32gb-ram-500gb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-731623595,34.999 TL,Casper
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,Oyun,,,,IPS,16 GB,DDR4,Metalik,1 TB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//casper/excalibur-12-nesil-core-i7-12650h-rtx4050-6gb-16gb-1tb-ssd-15-6inc-w11-p-779236637,41.999 TL,Casper
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Siyah,1 TB,,,3.5,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//asus/tuf-dash-f15-fx517zm-i7-12650h-16gb-1tb-ssd-rtx3060-6gb-144hz-15-6-fhd-fdos-hn093-p-737904255,41.999 TL,ASUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82s9016ptx07-i5-12450h-32gb-1tbssd-rtx3060-15-6-fullhd-freedos-tasinabilir-p-778158304,"31.173,50 TL",LENOVO
,USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,512 GB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-7p6c0ea-16-r0026nt-i7-13700h-16gb-512gb-ssd-rtx-4060-8gb-16-1-inc-144hz-fhd-fdos-notebook-p-748111028,44.499 TL,HP
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3070,GDDR6,8 GB,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,IPS,32 GB,DDR4,Siyah,1 TB,,,2.3,2560 x 1440,Full HD (FHD),11800H,11. Nesil,Intel Core i7,Belirtilmemiş,Windows,,https://www.trendyol.com//msi/stealth-gs66-12ugs-016tr-i7-12700h-32gb-ddr5-rtx3070ti-gddr6-8gb-1tb-ssd-15-6-qhd-240hz-w11-p-230344887,115.999 TL,MSI
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,VA,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//dell/gaming-g15-5530-intel-core-i7-13650hx-32gb-1tb-ssd-rtx4060-freedos-15-6-dlg5530g15ua38-p-769670493,"47.238,47 TL",Dell
,,,2 - 4 kg,Yok,"18,4 inç",Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,IPS,32 GB,DDR5,Siyah,2 TB,,,4,2560 x 1600,WQXGA,Belirtilmemiş,13. Nesil,Intel Core i9,Belirtilmemiş,Free Dos,,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6042-i9-13980hx-32gb-2tb-ssd-rtx4090-dos-18-240-hz-qhd-notebook-p-641693144,122.499 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nv-lp019w03-ryzen7-7735hs-16gb-512ssd-rtx4060-15-6-fullhd-w11h-tasinabilir-p-787988939,42.099 TL,ASUS
,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3070Ti,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1440,QHD,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/omen-gaming-laptop-16-k0007nt-i7-12700h-32gb-1tb-8gb-rtx3070ti-16-1-qhd-165-hz-freedos-7h8z4ea-p-654399553,48.999 TL,HP
,USB,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,Oyun,,,,IPS,16 GB,DDR4,Gri,512 GB,,,,1920 x 1200,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//lenovo/ip-gaming-3-12-nesil-core-i5-12500h-rtx3050ti-4gb-16gb-512-ssd-16inc-w11-p-779237175,34.999 TL,LENOVO
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.4,,Yok,IPS,16 GB,DDR4,Siyah,2 TB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-bxj0x-b-intel-core-i5-12450h-16gb-ram-2tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445717805,28.099 TL,Casper
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.4,,Yok,IPS,64 GB,DDR4,Siyah,1 TB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-efj0x-b-intel-core-i5-12450h-64gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445710810,29.999 TL,Casper
,Bluetooth,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,DDR4,Paylaşımlı,Dahili,90 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),11370H,11. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//hp/victus-16-r0003nt-core-i7-13700h-16gb-1tb-ssd-8gb-rtx-4070-16-1-w11-mika-gumus-gaming-notebook-p-773622880,47.299 TL,HP
,HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),13500HX,13. Nesil,Intel Core i5,14,Windows,,https://www.trendyol.com//hp/omen-core-i5-13500hx-16gb-ram-1tb-ssd-rtx4060-16-1-win-11-laptop-golge-siyahi-7q7y2ea-p-767243274,"49.033,51 TL",HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-g16-g614jva9-n3159a9-intel-core-i7-13650hx-8gb-512gb-ssd-rtx4060-freedos-16-p-753788438,"51.269,28 TL",ASUS
,Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,16 GB,DDR5,Siyah,1 TB,,,,2560 x 1600,QHD,13900HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//dell/g16-7630-8gb-rtx4070-i9-13900hx-16gb1tb-ssd-16-inc-qhd-165hz-g76302401020u-p-752715053,58.999 TL,Dell
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028w06-i5-11400h-32gb-512ssd-rtx2050-15-6-fullhd-w11h-tasinabilir-bil-p-736049568,27.279 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,8 GB,DDR4,Siyah,500 GB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-3-6-intel-core-i7-13700h-8-gb-ram-500-gb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-736036004,35.499 TL,Monster
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,17 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,+5,,,IPS,32 GB,DDR5,Siyah,1 TB,Gen 4,,2.2,2560 x 1600,QHD+,13950HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//monster/semruk-s7-v9-2-1-intel-core-i9-13950hx-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-windows-11-17-qhd-240-hz-p-759737196,87.999 TL,Monster
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,TN,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//msi/katana-15-b12vgk-087xtr-intel-core-i7-12650h-32gb-1tb-ssd-rtx4070-windows-10home-15-6-fhd-144hz-p-764461477,59.799 TL,MSI
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0018nt-r5-7640hs-32gb-1tb-ssd-rtx4060-144hz-16-1-fhd-w11home-7z4m8ea-p-744297938,44.885 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028w04-i5-11400h-16gb-1tbssd-rtx2050-15-6-fullhd-w11h-tasinabilir-bil-p-736053053,27.169 TL,ASUS
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,16 GB,DDR4,Gümüş,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1019nt-7n9u7ea-13-nesil-intel-i7-13700h-16gb-ram-1tb-ssd-6gb-rtx4050-15-6-fhd-144hz-p-661490286,44.250 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/250-g9-6q8m6es03-i5-1235u-16gb-1tbssd-mx550-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-387374632,"20.599,99 TL",HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),13420H,13. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/loq-82xv00g6tx-i5-13420h-16gb-512ssd-rtx4050-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-770291700,34.999 TL,LENOVO
,Bluetooth,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,16 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Windows,,https://www.trendyol.com//msi/katana-gf76-11ud-875tr-i7-11800h-16gb-ramrtx3050ti-gddr6-4gb-1tb-ssd-17-3-fhd-144hz-w11-p-475819420,59.999 TL,MSI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82k101fqtx01-i5-11320h-8gb-512ssd-rtx3050ti-15-6-fullhd-freedos-tasinabilir-p-755338048,24.938 TL,LENOVO
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,8 GB,DDR4,Siyah,500 GB,Gen 4,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-7-intel-core-i5-12450h-8gb-ram-500-gb-ssd-6-gb-rtx-4050-windows-11-15-6-fhd-144-hz-p-760784342,32.999 TL,Monster
,,,2 kg ve Altı,Var,"13,4 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,16 GB,LPDDR5,Siyah,512 GB,,,,2560 x 1600,QHD+,13900H,13. Nesil,Intel Core i9,8,Free Dos,,https://www.trendyol.com//asus/rog-flow-z13-gz301vf-mu017-13-nesil-i9-13900h-16gb-512gb-ssd-4gb-rtx2050-13-4-dknmtikqhd-165hz-p-661917182,48.999 TL,ASUS
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,Belirtilmemiş,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//dell/nb-g15-g552023011000u-i5-12500h-16gb-512ssd-4gb-rtx3050-15-6-ubuntu-p-635643355,"29.387,31 TL",Dell
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,VA,32 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),6600H,5. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//dell/g15-5525-ryzen-5-6600h-32gb-512gb-ssd-4gb-rtx3050-15-6-fhd-120hz-windows-11-g1555251000wh32gb-p-782530451,27.489 TL,Dell
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,8 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-11320h-8gb-1tb-ssd-gtx1650-freedos-15-6-82k101lxtxa18-p-767216972,"23.824,12 TL",LENOVO
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Siyah,512 GB,,,3.2,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-amd-ryzen-7-7735hs-16gb-512gb-ssd-freedos-rtx4050-15-6-82sb00p4tra17-p-752382025,"32.761,81 TL",LENOVO
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Gri,500 GB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dvg0x-b-intel-core-i5-12450h-32-gb-ram-500-gb-nvme-ssd-gen4-4gb-rtx-2050-freedos-p-746289795,26.399 TL,Casper
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Siyah,1 TB,,,3.3,1920 x 1080,Full HD (FHD),11370H,11. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/ideapad-gaming-3-i7-11370h-32gb-1tb-ssd-4gb-gtx1650-w10p-15-6-fhd-82k101j1tx014-p-741759786,"37.499,99 TL",LENOVO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/victus-16-e0050nt-5-nesil-ryzen-7-5800h-rtx3060-6gb-16gb-512gb-16-1inc-w11-p-779236487,34.999 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,240 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,IPS,32 GB,DDR5,Gri,1 TB,,,,2560 x 1440,QHD,14500HX,14. Nesil,Intel Core i5,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r1000nt-intel-core-i5-14500hx-32-gb-1-tb-ssd-rtx4050-6gb-freedos-16-1-qhd-240-hz-tasin-p-788882046,50.199 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,64 GB,DDR4,Beyaz,1 TB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//hp/victus-15-fa1032nt-827x0ea10-i5-12500h-64gb-1tbssd-rtx4050-15-6-fullhd-w11p-tasinabilir-bilgisay-p-785133115,41.849 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1033nt-7n9v2ea01-i5-13500h-16gb-1tbssd-rtx4050-15-6-fullhd-freedos-tasinabilir-bilgi-p-735142964,33.849 TL,HP
,HDMI - USB,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,240 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,64 GB,DDR5,Siyah,2 TB,,,,2560 x 1600,WQXGA,13980HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6041a5-i9-13980hx-64gb-2tbssd-rtx4090-18-qhd-w11p-tasinabilir-bilgi-p-772536303,142.749 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Gri,512 GB,Gen 4,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Windows,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g15-r7-6800hs-16gb-512gb-ssd-rtx3050-4gb-144hz-15-6-fhd-w11pro-g513rc-hn192-p-750365550,40.048 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,64 GB,DDR5,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0018nt-r5-7640hs-64gb-512gb-ssd-rtx4060-144hz-16-1-fhd-w11pro-7z4m8ea-p-743546346,48.130 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Gri,2 TB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0018nt-r5-7640hs-16gb-2tb-ssd-rtx4060-144hz-16-1-fhd-w11pro-7z4m8ea-p-743546117,46.020 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,2 TB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0018nt-r5-7640hs-32gb-2tb-ssd-rtx4060-144hz-16-1-fhd-w11pro-7z4m8ea-p-743546056,47.996 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7640HS,7. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0018nt-r5-7640hs-32gb-512gb-ssd-rtx4060-144hz-16-1-fhd-w11pro-7z4m8ea-p-743546043,43.865 TL,HP
